iter	RMSE
0	53.14087424
1	53.12004641
2	53.10017151
3	53.07949311
4	53.05903934
5	53.03870451
6	53.01821781
7	52.99769627
8	52.97687731
9	52.95699014
10	52.93684372
11	52.91662225
12	52.89623256
13	52.87571236
14	52.85573129
15	52.83530281
16	52.81519198
17	52.79496599
18	52.77469963
19	52.7543604
20	52.73434432
21	52.71436168
22	52.69468516
23	52.6744792
24	52.65452994
25	52.63448549
26	52.61420969
27	52.5939772
28	52.57451483
29	52.55483345
30	52.53547503
31	52.51579925
32	52.49599303
33	52.47620403
34	52.45650566
35	52.43691676
36	52.41692141
37	52.39758659
38	52.37774523
39	52.3580654
40	52.33855501
41	52.31884751
42	52.29933509
43	52.27988854
44	52.26067018
45	52.2410952
46	52.22157838
47	52.2023897
48	52.18335076
49	52.16436631
50	52.14479095
51	52.12584815
52	52.10650856
53	52.08742187
54	52.06880739
55	52.04970632
56	52.03064019
57	52.01170768
58	51.99268037
59	51.97413569
60	51.95542276
61	51.9365002
62	51.91852454
63	51.89975965
64	51.88100765
65	51.8619914
66	51.84348988
67	51.82475637
68	51.80633366
69	51.7879228
70	51.76983912
71	51.75112788
72	51.73301209
73	51.71453912
74	51.69573257
75	51.67729306
76	51.65855838
77	51.64018588
78	51.6222921
79	51.60394091
80	51.58613019
81	51.56777468
82	51.54974614
83	51.53129207
84	51.51350114
85	51.49561825
86	51.47776888
87	51.45941096
88	51.44179114
89	51.42358831
90	51.40555661
91	51.38749344
92	51.36940415
93	51.35174274
94	51.33349071
95	51.31564984
96	51.29769724
97	51.27956414
98	51.26168618
99	51.2436652
