iter	Passed	Remaining
0	63	6280
1	65	3194
2	67	2177
3	69	1656
4	70	1337
5	71	1125
6	73	973
7	74	859
8	76	774
9	78	705
10	80	649
11	82	601
12	83	559
13	85	523
14	86	492
15	88	464
16	89	439
17	91	417
18	93	397
19	94	379
20	96	362
21	97	347
22	99	333
23	100	319
24	102	307
25	103	295
26	105	284
27	106	274
28	108	265
29	109	256
30	111	248
31	113	240
32	114	233
33	116	226
34	118	219
35	119	212
36	121	206
37	122	199
38	124	194
39	125	188
40	127	183
41	128	177
42	130	172
43	132	168
44	133	163
45	135	158
46	136	154
47	138	150
48	140	146
49	142	142
50	143	137
51	145	133
52	146	130
53	148	126
54	149	122
55	151	119
56	152	115
57	154	111
58	156	108
59	158	105
60	159	102
61	161	98
62	162	95
63	164	92
64	165	89
65	167	86
66	168	83
67	170	80
68	171	77
69	173	74
70	174	71
71	176	68
72	177	65
73	179	63
74	181	60
75	182	57
76	183	54
77	185	52
78	186	49
79	188	47
80	189	44
81	191	42
82	193	39
83	194	37
84	195	34
85	197	32
86	198	29
87	200	27
88	202	24
89	203	22
90	205	20
91	206	17
92	208	15
93	209	13
94	211	11
95	212	8
96	214	6
97	215	4
98	217	2
99	218	0
