iter	RMSE
0	1042.69513
1	1038.449047
2	1034.265712
3	1030.046667
4	1025.880775
5	1021.746233
6	1017.598305
7	1013.519269
8	1009.465266
9	1005.4037
10	1001.399065
11	997.410473
12	993.4142853
13	989.455745
14	985.5066014
15	981.6343942
16	977.7042908
17	973.8238774
18	969.9524668
19	966.1725056
20	962.3879153
21	958.5798159
22	954.7908612
23	951.0229412
24	947.2970422
25	943.5434744
26	939.8386024
27	936.1592351
28	932.5433862
29	928.8764798
30	925.2941
31	921.7745999
32	918.2260538
33	914.6954279
34	911.2008143
35	907.7334971
36	904.2883543
37	900.8278169
38	897.4066552
39	893.9992473
40	890.6192482
41	887.2426053
42	883.8595739
43	880.5159858
44	877.2001078
45	873.8704974
46	870.6082045
47	867.3694152
48	864.1088327
49	860.8912712
50	857.7096587
51	854.5041471
52	851.332243
53	848.160718
54	844.9931941
55	841.9150547
56	838.8277767
57	835.7682772
58	832.7015443
59	829.6305829
60	826.5746241
61	823.5168614
62	820.5333029
63	817.53727
64	814.5726159
65	811.6569991
66	808.7032373
67	805.8015884
68	802.9196958
69	800.0383377
70	797.2467085
71	794.3871357
72	791.5518499
73	788.7173166
74	785.9285462
75	783.1785145
76	780.4351758
77	777.7241721
78	774.9698657
79	772.2880114
80	769.6001838
81	766.9201001
82	764.2666464
83	761.613275
84	758.9997915
85	756.4384363
86	753.836945
87	751.223754
88	748.7002575
89	746.1864145
90	743.6356097
91	741.1428036
92	738.6481433
93	736.1608296
94	733.6946254
95	731.2395801
96	728.766425
97	726.3692951
98	723.95712
99	721.5879437
