iter	Passed	Remaining
0	4	398
1	5	281
2	7	234
3	8	212
4	10	201
5	12	191
6	14	187
7	15	180
8	17	173
9	20	180
10	21	173
11	22	168
12	24	163
13	26	160
14	27	157
15	29	155
16	31	151
17	32	148
18	34	145
19	35	142
20	37	140
21	38	137
22	40	135
23	41	132
24	43	130
25	45	128
26	46	126
27	48	123
28	49	121
29	51	119
30	52	117
31	53	114
32	55	112
33	56	110
34	58	108
35	60	106
36	61	104
37	63	102
38	64	100
39	65	98
40	67	96
41	68	95
42	70	93
43	71	91
44	73	89
45	74	87
46	76	86
47	77	84
48	79	82
49	81	81
50	82	79
51	84	77
52	87	77
53	88	75
54	90	74
55	92	72
56	94	71
57	95	69
58	97	67
59	98	65
60	100	64
61	101	62
62	103	60
63	105	59
64	106	57
65	108	56
66	110	54
67	112	53
68	114	51
69	116	49
70	118	48
71	120	46
72	121	44
73	122	43
74	123	41
75	124	39
76	125	37
77	126	35
78	127	33
79	128	32
80	129	30
81	130	28
82	131	26
83	132	25
84	133	23
85	134	21
86	135	20
87	136	18
88	138	17
89	139	15
90	140	13
91	141	12
92	142	10
93	143	9
94	144	7
95	145	6
96	146	4
97	147	3
98	148	1
99	149	0
