iter	RMSE
0	1145.95807
1	1144.968735
2	1143.998949
3	1143.025339
4	1142.070762
5	1141.092268
6	1140.130283
7	1139.165489
8	1138.204851
9	1137.255743
10	1136.298094
11	1135.339283
12	1134.373712
13	1133.411142
14	1132.482349
15	1131.54423
16	1130.58001
17	1129.627823
18	1128.661845
19	1127.729568
20	1126.784451
21	1125.825369
22	1124.86686
23	1123.914251
24	1122.961751
25	1121.991414
26	1121.034445
27	1120.083389
28	1119.142085
29	1118.185817
30	1117.252001
31	1116.30149
32	1115.373387
33	1114.435176
34	1113.550764
35	1112.628435
36	1111.699494
37	1110.778258
38	1109.847551
39	1108.906819
40	1107.979918
41	1107.116855
42	1106.205942
43	1105.259085
44	1104.341054
45	1103.405927
46	1102.457343
47	1101.548898
48	1100.61631
49	1099.709036
50	1098.790062
51	1097.872579
52	1096.946214
53	1096.02358
54	1095.107168
55	1094.191171
56	1093.29444
57	1092.376356
58	1091.457523
59	1090.52739
60	1089.599137
61	1088.686459
62	1087.781502
63	1086.875623
64	1085.983491
65	1085.078377
66	1084.159507
67	1083.258228
68	1082.357086
69	1081.444524
70	1080.543851
71	1079.636504
72	1078.753057
73	1077.844458
74	1076.961153
75	1076.063235
76	1075.158744
77	1074.252035
78	1073.355163
79	1072.461624
80	1071.557557
81	1070.675964
82	1069.784893
83	1068.917228
84	1068.101047
85	1067.19838
86	1066.32528
87	1065.437479
88	1064.564862
89	1063.689546
90	1062.813755
91	1061.941376
92	1061.068442
93	1060.16999
94	1059.298141
95	1058.421383
96	1057.54107
97	1056.676535
98	1055.814372
99	1054.946758
