iter	Passed	Remaining
0	59	5858
1	59	2931
2	60	1954
3	61	1465
4	61	1171
5	62	975
6	62	835
7	63	729
8	64	647
9	64	581
10	65	527
11	65	482
12	66	444
13	67	411
14	67	382
15	68	357
16	68	334
17	69	314
18	69	296
19	70	280
20	70	265
21	71	252
22	71	239
23	72	228
24	72	218
25	73	208
26	73	199
27	74	191
28	74	183
29	75	175
30	75	168
31	76	162
32	77	156
33	77	150
34	78	145
35	78	140
36	79	135
37	79	130
38	80	126
39	81	121
40	81	117
41	82	113
42	83	110
43	83	106
44	84	103
45	84	99
46	85	96
47	86	93
48	86	90
49	87	87
50	87	84
51	88	81
52	88	78
53	89	76
54	90	73
55	90	71
56	91	68
57	91	66
58	92	64
59	92	61
60	93	59
61	94	57
62	94	55
63	95	53
64	95	51
65	96	49
66	97	47
67	97	45
68	98	44
69	98	42
70	99	40
71	100	38
72	100	37
73	101	35
74	101	33
75	102	32
76	103	30
77	103	29
78	104	27
79	104	26
80	105	24
81	106	23
82	106	21
83	107	20
84	107	18
85	108	17
86	108	16
87	109	14
88	110	13
89	110	12
90	111	10
91	111	9
92	112	8
93	112	7
94	113	5
95	114	4
96	114	3
97	115	2
98	115	1
99	116	0
