iter	RMSE
0	330.6247636
1	330.4176709
2	330.2226022
3	330.0207169
4	329.8247156
5	329.6448491
6	329.4448629
7	329.2471273
8	329.0512527
9	328.85486
10	328.6499236
11	328.4511577
12	328.2508669
13	328.0503534
14	327.8540056
15	327.6729756
16	327.474901
17	327.2823006
18	327.0736401
19	326.8808705
20	326.6856215
21	326.4860804
22	326.2818348
23	326.0907841
24	325.8909782
25	325.7024168
26	325.5119038
27	325.3277373
28	325.1388657
29	324.9446128
30	324.7445224
31	324.5431456
32	324.3526289
33	324.1523804
34	323.9627883
35	323.7727161
36	323.5863688
37	323.384149
38	323.186574
39	323.0046977
40	322.8018692
41	322.6074353
42	322.4267615
43	322.2431777
44	322.0510722
45	321.870539
46	321.6731055
47	321.4792302
48	321.2856317
49	321.0920347
50	320.9115461
51	320.7300484
52	320.5411644
53	320.3500714
54	320.1587849
55	319.9735497
56	319.7905811
57	319.6041335
58	319.4102178
59	319.2221767
60	319.0209078
61	318.8399724
62	318.6605306
63	318.4718642
64	318.2901814
65	318.1088245
66	317.9322289
67	317.7435523
68	317.5539305
69	317.3702135
70	317.1819864
71	316.9985656
72	316.8165053
73	316.6275438
74	316.4595973
75	316.2751191
76	316.0908689
77	315.908649
78	315.7476548
79	315.567026
80	315.3873181
81	315.2037436
82	315.0279938
83	314.8367178
84	314.6464174
85	314.4556574
86	314.2907975
87	314.1048383
88	313.924402
89	313.7431348
90	313.567016
91	313.3777386
92	313.2006519
93	313.0213791
94	312.8290908
95	312.6582672
96	312.4843375
97	312.3048029
98	312.1211513
99	311.9325816
