iter	Passed	Remaining
0	60	5973
1	60	2978
2	61	1976
3	61	1474
4	61	1173
5	62	972
6	62	828
7	62	722
8	63	638
9	63	570
10	63	515
11	63	469
12	64	430
13	64	396
14	64	367
15	65	342
16	65	320
17	65	299
18	66	282
19	66	266
20	66	251
21	67	237
22	67	225
23	67	214
24	68	204
25	68	194
26	68	185
27	68	177
28	69	169
29	69	162
30	69	155
31	70	149
32	70	143
33	70	137
34	71	132
35	71	127
36	72	122
37	72	117
38	72	113
39	72	109
40	73	105
41	73	101
42	73	97
43	74	94
44	74	91
45	74	87
46	75	84
47	75	81
48	75	78
49	76	76
50	76	73
51	76	70
52	77	68
53	77	65
54	77	63
55	77	61
56	78	59
57	78	56
58	78	54
59	79	52
60	79	50
61	79	48
62	80	47
63	80	45
64	80	43
65	81	41
66	81	40
67	81	38
68	82	36
69	82	35
70	82	33
71	83	32
72	83	30
73	83	29
74	84	28
75	84	26
76	84	25
77	85	24
78	85	22
79	85	21
80	86	20
81	86	18
82	86	17
83	86	16
84	87	15
85	87	14
86	87	13
87	88	12
88	88	10
89	88	9
90	89	8
91	89	7
92	89	6
93	90	5
94	90	4
95	90	3
96	91	2
97	91	1
98	91	0
99	92	0
