iter	RMSE
0	379.7202265
1	379.4362961
2	379.1348161
3	378.8478492
4	378.5748323
5	378.3058702
6	378.020245
7	377.7531898
8	377.5001595
9	377.2216068
10	376.9292195
11	376.636727
12	376.3518781
13	376.061395
14	375.7885685
15	375.5029861
16	375.2184136
17	374.945693
18	374.6655948
19	374.3922381
20	374.1290178
21	373.8538339
22	373.5801627
23	373.3023069
24	373.0242525
25	372.7523767
26	372.4861167
27	372.2234342
28	371.9396717
29	371.6746196
30	371.4047326
31	371.1465301
32	370.8843583
33	370.6051066
34	370.3326954
35	370.0587797
36	369.7773035
37	369.5221019
38	369.2490226
39	368.9933724
40	368.7154542
41	368.4501395
42	368.1827939
43	367.9042912
44	367.6313774
45	367.3479023
46	367.081584
47	366.8033125
48	366.5255382
49	366.2706368
50	365.9939973
51	365.7383509
52	365.4645883
53	365.1870115
54	364.9138142
55	364.6328559
56	364.364708
57	364.0930166
58	363.8371913
59	363.595734
60	363.3556579
61	363.0897185
62	362.8287575
63	362.5663718
64	362.2967863
65	362.0196979
66	361.7480141
67	361.4840684
68	361.2164862
69	360.9455192
70	360.6791218
71	360.406133
72	360.1615618
73	359.9164669
74	359.6634213
75	359.4106578
76	359.1503072
77	358.8851177
78	358.621466
79	358.3803691
80	358.118936
81	357.8663543
82	357.6045701
83	357.3311876
84	357.0909625
85	356.8177455
86	356.5510359
87	356.2770359
88	356.0363174
89	355.7723289
90	355.500943
91	355.2473554
92	354.9906207
93	354.7359324
94	354.4786008
95	354.2191104
96	353.9675647
97	353.7177354
98	353.4528026
99	353.213902
