iter	Passed	Remaining
0	1	192
1	2	109
2	2	80
3	2	65
4	3	57
5	3	51
6	3	47
7	3	42
8	3	40
9	4	38
10	4	36
11	4	34
12	5	33
13	5	32
14	5	31
15	5	30
16	6	30
17	6	29
18	6	29
19	7	29
20	7	29
21	8	28
22	9	33
23	10	33
24	11	33
25	11	32
26	11	32
27	12	31
28	12	30
29	12	30
30	13	29
31	13	28
32	13	27
33	14	27
34	14	26
35	14	26
36	15	25
37	15	25
38	15	24
39	16	24
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	17
57	23	17
58	24	16
59	24	16
60	24	15
61	25	15
62	25	15
63	26	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	31	8
78	31	8
79	31	7
80	32	7
81	32	7
82	33	6
83	34	6
84	34	6
85	34	5
86	35	5
87	35	4
88	36	4
89	36	4
90	37	3
91	37	3
92	38	2
93	38	2
94	38	2
95	38	1
96	39	1
97	39	0
98	40	0
99	40	0
