Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2598300,-,-,-,25.01,54.78,4,0,4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2015,1,1,0,30,177.61,0.01,2.4000000000000004,0,0,0,0,16.400000000000002,74.92,1018,0,0,0,0,21,113,4.2
2015,1,1,1,30,164.8,0.01,2.4000000000000004,0,0,0,0,17,80.21000000000001,1018,0,0,0,0,20.5,117,4.1000000000000005
2015,1,1,2,30,151.21,0.01,2.4000000000000004,0,0,0,0,17.6,84.88,1018,0,0,0,0,20.200000000000003,119,3.8000000000000003
2015,1,1,3,30,137.68,0.01,2.4000000000000004,0,0,0,0,18.1,89.2,1018,0,0,0,0,19.900000000000002,120,3.7
2015,1,1,4,30,124.31,0.01,1.7000000000000002,0,0,0,0,16.7,80.95,1017,0,0,0,0,20.1,71,2.1
2015,1,1,5,30,111.13,0.01,1.7000000000000002,0,0,0,0,16.900000000000002,83.92,1018,0,0,0,0,19.700000000000003,83,2.3000000000000003
2015,1,1,6,30,98.28,0.01,1.7000000000000002,0,0,0,0,17.1,85.45,1019,0,0,0,0,19.6,94,2.6
2015,1,1,7,30,85.75,0.01,1.6,30,73,35,0,17.2,83.43,1020,30,73,0,35,20.1,103,3
2015,1,1,8,30,74.29,0.01,1.6,99,420,213,0,17.2,77.06,1020,99,420,0,213,21.400000000000002,109,3.3000000000000003
2015,1,1,9,30,63.92,0.01,1.6,131,613,401,0,16.900000000000002,69.41,1020,131,613,0,401,22.8,110,3
2015,1,1,10,30,55.410000000000004,0.01,1.6,161,678,546,0,15.9,60.02,1020,161,678,0,546,24.1,108,2.5
