Year,Month,Day,Hour,Minute,Solar Zenith Angle,Surface Albedo,Precipitable Water,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Relative Humidity,Pressure,DHI,DNI,Fill Flag,GHI,Temperature,Wind Direction,Wind Speed
2021,1,1,0,30,177.61,0.01,3.6,0,0,0,0,18.7,76.98,1018,0,0,0,0,23,120,4.1
2021,1,1,1,30,164.84,0.01,3.5,0,0,0,3,18.7,78.27,1018,0,0,0,0,22.7,127,4.2
2021,1,1,2,30,151.26,0.01,3.5,0,0,0,6,18.8,79.46,1018,0,0,0,0,22.5,131,4.1
2021,1,1,3,30,137.73,0.01,3.5,0,0,0,6,18.8,80.22,1018,0,0,0,0,22.4,135,3.9
2021,1,1,4,30,124.35,0.01,2,0,0,0,3,14.3,71.84,1019,0,0,0,0,19.5,90,2.7
2021,1,1,5,30,111.17,0.01,2,0,0,0,2,14.6,73.9,1019,0,0,0,0,19.4,92,2.9
2021,1,1,6,30,98.32,0.01,2,0,0,0,1,14.9,74.93,1020,0,0,0,0,19.5,96,3.1
2021,1,1,7,30,85.78,0.01,2.1,31,83,37,3,15.3,73.25,1021,23,0,7,23,20.2,99,3.5
2021,1,1,8,30,74.31,0.01,2.1,91,457,214,7,15.5,69.65,1021,137,95,0,162,21.3,101,3.9
2021,1,1,9,30,63.92,0.01,2,118,647,403,2,15.5,64.31,1021,235,275,0,356,22.6,101,3.8
2021,1,1,10,30,55.41,0.01,2,130,748,555,0,14.9,57.9,1020,130,748,0,555,23.7,96,3.2
2021,1,1,11,30,49.75,0.01,2,137,795,651,0,14.1,52.5,1019,137,795,0,651,24.4,80,2.1
2021,1,1,12,30,47.98,0.01,2,140,805,679,0,13,47.96,1019,140,805,0,679,24.8,35,1.4
2021,1,1,13,30,50.52,0.01,2,134,795,639,0,12.5,46.42,1018,134,795,0,639,24.8,176,1.9
2021,1,1,14,30,56.78,0.01,2,124,748,534,0,12.8,47.67,1018,124,748,0,534,24.6,349,2.8
2021,1,1,15,30,65.7,0.01,1.9,107,654,376,0,13,49.46,1018,107,654,0,376,24.3,350,3.4
2021,1,1,16,30,76.34,0.01,1.9,77,450,183,3,13.5,53.01,1018,103,3,0,104,23.6,353,3.5
2021,1,1,17,30,87.89,0.01,1.9,16,35,17,2,14,56.92,1018,2,0,7,2,23,357,3.4
2021,1,1,18,30,100.63,0.01,1.9,0,0,0,0,14.4,60.04,1019,0,0,0,0,22.5,181,3.2
2021,1,1,19,30,113.56,0.01,1.9,0,0,0,3,14.4,61.52,1019,0,0,0,0,22.1,9,2.9
2021,1,1,20,30,126.79,0.01,1.9,0,0,0,0,14.1,61.91,1019,0,0,0,0,21.7,20,2.6
2021,1,1,21,30,140.22,0.01,1.8,0,0,0,0,13.6,61.19,1019,0,0,0,0,21.4,32,2.3
2021,1,1,22,30,153.77,0.01,1.8,0,0,0,0,13.1,60.22,1019,0,0,0,0,21.1,43,2.2
2021,1,1,23,30,167.34,0.01,1.8,0,0,0,0,12.6,59.37,1019,0,0,0,0,20.8,51,2.1
2021,1,2,0,30,177.59,0.01,1.8,0,0,0,0,12.2,59.4,1019,0,0,0,0,20.4,57,2.1
2021,1,2,1,30,164.96,0.01,1.9,0,0,0,2,12.1,59.87,1019,0,0,0,0,20.1,63,2.1
2021,1,2,2,30,151.37,0.01,1.9,0,0,0,0,12,60.46,1019,0,0,0,0,19.9,68,2
2021,1,2,3,30,137.84,0.01,2,0,0,0,0,12,60.95,1019,0,0,0,0,19.7,75,2
2021,1,2,4,30,124.43,0.01,2,0,0,0,0,11.9,61.32,1019,0,0,0,0,19.5,84,1.9
2021,1,2,5,30,111.24,0.01,2.1,0,0,0,0,11.8,61.67,1020,0,0,0,0,19.3,94,1.9
2021,1,2,6,30,98.38,0.01,2.1,0,0,0,0,11.6,61.11,1021,0,0,0,0,19.3,106,1.9
2021,1,2,7,30,85.83,0.01,2.1,30,74,35,0,11.4,57.66,1022,30,74,0,35,20,116,2.1
2021,1,2,8,30,74.34,0.01,2,94,433,211,0,11,52.63,1022,94,433,0,211,21.1,120,2.1
2021,1,2,9,30,63.94,0.01,2,126,617,397,0,10.4,46.72,1022,126,617,0,397,22.4,108,1.6
2021,1,2,10,30,55.39,0.01,2,130,749,555,0,9.9,41.94,1021,130,749,0,555,23.6,59,1
2021,1,2,11,30,49.69,0.01,2,138,792,650,0,9.5,39.34,1020,138,792,0,650,24.2,179,1.2
2021,1,2,12,30,47.89,0.01,2,140,803,679,0,9.9,39.55,1019,140,803,0,679,24.6,331,2.1
2021,1,2,13,30,50.4,0.01,2,136,789,639,0,11.1,42.84,1019,136,789,0,639,24.6,328,3
2021,1,2,14,30,56.65,0.01,2.1,131,724,530,0,12.3,46.73,1019,131,724,0,530,24.4,330,3.5
