Temperature,DNI,DHI,GHI,Pressure,Wind Speed,Datetime
21.6,0,0,0,1021,1.9,2018-01-01 00:30:00
21.3,0,0,0,1021,1.9,2018-01-01 01:30:00
21.1,0,0,0,1021,1.9,2018-01-01 02:30:00
20.8,0,0,0,1021,1.9,2018-01-01 03:30:00
20.0,0,0,0,1016,0.8,2018-01-01 04:30:00
19.6,0,0,0,1017,0.5,2018-01-01 05:30:00
19.2,0,0,0,1017,0.6,2018-01-01 06:30:00
19.5,182,28,41,1018,0.8,2018-01-01 07:30:00
20.4,583,72,230,1018,0.9,2018-01-01 08:30:00
21.6,750,94,423,1018,0.7,2018-01-01 09:30:00
22.7,833,105,578,1018,0.9,2018-01-01 10:30:00
23.4,876,112,678,1017,1.3,2018-01-01 11:30:00
23.7,887,113,707,1016,1.8,2018-01-01 12:30:00
23.8,866,111,662,1015,2.2,2018-01-01 13:30:00
23.7,820,104,553,1015,2.6,2018-01-01 14:30:00
23.2,726,91,389,1014,2.9,2018-01-01 15:30:00
22.3,528,68,192,1015,3.0,2018-01-01 16:30:00
21.2,68,15,18,1015,2.9,2018-01-01 17:30:00
20.6,0,0,0,1016,2.8,2018-01-01 18:30:00
20.2,0,0,0,1016,2.5,2018-01-01 19:30:00
20.0,0,0,0,1016,2.1,2018-01-01 20:30:00
20.0,0,0,0,1015,1.6,2018-01-01 21:30:00
20.0,0,0,0,1015,0.9,2018-01-01 22:30:00
19.9,0,0,0,1014,0.4,2018-01-01 23:30:00
19.5,0,0,0,1013,0.4,2018-01-02 00:30:00
19.2,0,0,0,1013,0.6,2018-01-02 01:30:00
18.8,0,0,0,1013,0.8,2018-01-02 02:30:00
18.4,0,0,0,1013,1.0,2018-01-02 03:30:00
18.2,0,0,0,1014,1.1,2018-01-02 04:30:00
18.1,0,0,0,1014,1.2,2018-01-02 05:30:00
18.1,0,0,0,1015,1.3,2018-01-02 06:30:00
18.7,113,29,38,1015,1.4,2018-01-02 07:30:00
19.9,490,88,220,1016,1.4,2018-01-02 08:30:00
21.0,665,118,410,1016,1.6,2018-01-02 09:30:00
22.0,784,125,570,1016,2.0,2018-01-02 10:30:00
22.8,821,135,666,1015,2.5,2018-01-02 11:30:00
23.3,822,141,692,1014,3.1,2018-01-02 12:30:00
23.4,808,137,652,1013,3.5,2018-01-02 13:30:00
23.3,748,131,542,1013,3.7,2018-01-02 14:30:00
23.0,632,116,377,1013,3.7,2018-01-02 15:30:00
22.2,418,84,183,1014,3.1,2018-01-02 16:30:00
21.2,29,15,17,1014,2.6,2018-01-02 17:30:00
20.7,0,0,0,1015,2.5,2018-01-02 18:30:00
